initials,date_setup,date_mummies_count,aphid_species,initial_no_aphids,replica,no_mummies
KG,15/11/2023,28/11/2023,BRBR,64,1,36
KG,15/11/2023,28/11/2023,BRBR,64,2,13
KG,15/11/2023,28/11/2023,BRBR,64,3,86
KG,15/11/2023,28/11/2023,BRBR,64,4,0
KG,15/11/2023,28/11/2023,BRBR,64,5,16
KG,14/11/2023,28/11/2023,LIER,64,1,29
KG,14/11/2023,28/11/2023,LIER,64,2,66
KG,14/11/2023,28/11/2023,LIER,64,3,0
KG,14/11/2023,28/11/2023,LIER,64,4,0
KG,14/11/2023,28/11/2023,LIER,64,5,189
